zip,price,rent,ROI,median_income,annual_mortgage_interest_cost,cash_flow,ROI_after_interest,z_roi_ai,z_income,z_price,investment_score,state
46307,344780.2107393809,1717.2777777777776,0.0597694783269054,107800,22410.71369805976,-1803.3803647264283,-0.0052305216730945,-0.5731356539471922,1.357965461080227,0.974577085889327,-0.0740936058273934,Indiana
47906,352889.50885607937,1887.579087579088,0.0641870854261833,53103,22937.81807564516,-286.8690246961087,-0.0008129145738166,-0.4048111203792424,-0.757258930677714,1.0548939319311514,-0.6405620257791658,Indiana
46227,221105.2963760664,1266.4757834757836,0.0687351666866469,53629,14371.844264444317,825.8651372650857,0.0037351666866469,-0.2315151165490662,-0.7369176317021819,-0.2503352201091434,-0.286765803763359,Indiana
46143,326074.8644,1601.971499895985,0.0589547373856143,91496,21194.866186000003,-1971.208187248183,-0.0060452626143856,-0.6041798110755968,0.7274625361808454,0.7893138978206271,-0.2417139242476702,Indiana
46032,556863.3326200767,1691.8699294532628,0.036458567056148,132085,36196.11662030499,-15893.677466865833,-0.0285414329438519,-1.46135368205918,2.2971069926786982,3.075109980725896,-0.65656673937116,Indiana
47150,225996.41487165025,1146.8690476190477,0.0608966676716736,62820,14689.766966657267,-927.3383952286948,-0.0041033323283263,-0.5301862434548282,-0.381486303025157,-0.2018921606077047,-0.3391605805134202,Indiana
46060,345808.32394155074,1823.9798920377868,0.0632944819111785,91918,22477.5410562008,-589.7823517473589,-0.0017055180888214,-0.4388220830899966,0.7437819813665384,0.9847598179314756,-0.1932284107213319,Indiana
47130,245991.22876090268,1390.1395604395602,0.0678141038170466,70290,15989.429869458674,692.2448558160486,0.0028141038170466,-0.2666104689486888,-0.0926089202357568,-0.0038577110576071,-0.16031636833355,Indiana
47201,261524.8733031269,1319.678354978355,0.0605530940890084,83958,16999.11676470325,-1162.9765049629896,-0.0044469059109915,-0.5432774626938237,0.4359554797596274,0.1499920203509836,-0.1708504914892203,Indiana
47374,149368.73815925288,831.9444444444445,0.0668368325016535,50766,9708.967980351435,274.36535298189665,0.0018368325016535,-0.3038475374873929,-0.847634625935924,-0.9608349475770414,-0.2140471670090653,Indiana
