state,zip,price,rent,ROI,median_income,annual_mortgage_interest_cost,cash_flow,ROI_after_interest,z_roi_ai,z_income,z_price,investment_score
AK,99504,343391.3968794447,1904.2666666666664,6.654563919672811,86710.0,22320.44079716391,530.7592028360887,0.0015456391967281103,0.7205457675733803,-0.45420342701410704,-0.35514403963005753,0.29504066360846953
AK,99508,329273.89526062313,1479.9031746031749,5.393333134162313,79314.0,21402.803191940504,-3643.9650967024063,-0.01106666865837687,-0.529458387691124,-0.8572408996700449,-0.5926614111404153,-0.4033691815184924
AK,99654,414692.7483923645,1796.0555555555557,5.197261526809835,97544.0,26955.02864550369,-5402.361978837023,-0.013027384731901655,-0.7237846971466811,0.13618434729016973,0.8444527483672223,-0.48992759405973413
AK,99507,400802.0900452614,1666.0555555555557,4.988164274395116,107992.0,26052.13585294199,-6059.469186275321,-0.015118357256048848,-0.9310207061115244,0.7055374454931496,0.6107518607573552,-0.3759994915592884
AK,99577,463715.8959382882,2439.8611111111118,6.313851560790518,136900.0,30141.533235988732,-863.1999026553895,-0.0018614843920948206,0.38286620151326967,2.280849405949863,1.669233893265308,0.541841143888532
AK,99623,356448.94192034256,1576.6666666666667,5.307913076714406,88799.0,23169.181224822267,-4249.181224822267,-0.011920869232855943,-0.6141180930991221,-0.3403655037612333,-0.1354597172739434,-0.3820767542231424
AK,99705,312335.9598252162,1894.4444444444443,7.2784873525465805,96964.0,20301.837388639055,2431.4959446942776,0.007784873525465807,1.3389154526611333,0.1045778391586873,-0.8776306650533332,0.8763572110888395
AK,99502,427429.69453070936,1724.3055555555557,4.84095207502717,116071.0,27782.93014449611,-7091.263477829441,-0.016590479249728306,-1.076922521250834,1.1457943061728848,1.0587432120435565,-0.4064716111822628
AK,99515,453193.53012893326,2120.833333333333,5.615702411453113,113995.0,29457.579458380664,-4007.5794583806673,-0.008842975885468871,-0.30906849251095203,1.0326648046539926,1.4922022387566642,-0.14317525261061115
AK,99501,340161.00833764364,1617.4801587301588,5.706051378321346,70891.0,22110.465541946836,-2700.7036371849317,-0.007939486216786536,-0.21952375152729886,-1.3162436893105216,-0.40949313170898693,-0.42273635621500855
AK,99701,251130.9490756224,1763.6666666666667,8.42747581606397,75668.0,16323.511689915456,4840.488310084544,0.019274758160639692,2.4776763917753644,-1.0559259490620878,-1.9073633804458012,1.303533087258216
AK,99517,386486.0300457362,1665.5555555555557,5.1713813987795305,103880.0,25121.591952972853,-5134.925286306185,-0.013286186012204697,-0.7494344576411996,0.48145820163684666,0.3698938794174792,-0.30425854421304166
AK,99611,307905.0714710932,1772.5,6.907973258893488,79757.0,20013.82964562106,1256.1703543789408,0.004079732588934875,0.9716994268780605,-0.8331000667351368,-0.9521773507023054,0.4263551635589503
AK,99503,316037.8940876604,1364.9,5.1825430767669145,76144.0,20542.463115697927,-4163.663115697926,-0.013174569232330846,-0.7383721334224734,-1.0299868148024576,-0.8153481366527253,-0.5151124838214288
AL,35242,546005.4748249217,1553.125,3.4134273115074847,117047.0,35490.35586361991,-16852.85586361991,-0.03086572688492515,-1.0661366764295364,1.8018189300612524,2.339382482727533,-0.46039915574189916
AL,36117,249679.60513838253,1430.6302387914232,6.875837077674856,74720.0,16229.174333994864,938.3885315022144,0.003758370776748552,-0.3718698611551559,0.1649068496490022,0.02370865479574538,-0.14120460664202636
AL,36695,270012.7912,1448.3538961038964,6.436823483807888,76040.0,17550.831427999998,-170.58467475324142,-0.0006317651619211195,-0.459898890143704,0.21595520994253045,0.182604760799459,-0.20168383424898467
AL,35758,367348.3678706007,1273.5526016561614,4.160255647374286,117380.0,23877.643911589046,-8595.01269171511,-0.023397443526257132,-0.9163860214477464,1.8146970391353014,0.9432452261803217,-0.10243294421934718
AL,36830,412475.7606990342,1687.6636904761906,4.909855612216513,70188.0,26810.924445437224,-6558.9601597229375,-0.01590144387783487,-0.7660796119042945,-0.010359187358778112,1.29589861620038,-0.6453272853998567
AL,35215,146159.96901099072,1244.7467787114845,10.219598051101533,52793.0,9500.397985714397,5436.563358823416,0.03719598051101533,0.2986060324677379,-0.6830760262269022,-0.7852578802921377,0.10143178442422587
AL,36116,142119.09071480556,1309.3674756615935,11.055805120136649,55160.0,9237.740896462361,6474.66881147676,0.04555805120136649,0.4662785085570023,-0.5915370347005527,-0.8168358053724961,0.21904530494283456
AL,35405,238377.70533351795,1284.1407407407407,6.464400211978279,62301.0,15494.550846678667,-84.86195778977708,-0.0003559978802172183,-0.4543693287874418,-0.3153731401126094,-0.06461138830989756,-0.30887432876552423
AL,36330,198704.72247164825,1426.861111111111,8.616973527529723,75765.0,12915.806960657137,4206.526372676195,0.021169735275297214,-0.022745020470298,0.20532013488137874,-0.3746406415316971,0.12515165853560403
AL,36532,450053.0012352222,2147.5,5.725992256305651,89694.0,29253.445080289446,-3483.445080289446,-0.007740077436943495,-0.602431567049197,0.7439963549787689,1.5895504412252972,-0.3959269652760273
AL,35401,171705.74121839585,1504.6,10.515198776629862,29152.0,11160.87317919573,6894.326820804266,0.040151987766298615,0.35787855887714626,-1.5973444244839488,-0.5856273985607531,-0.18313856819446087
AL,36608,232705.6779168253,1224.7008547008545,6.3154497939079555,61146.0,15125.869064593646,-429.45880818339174,-0.0018455020609204507,-0.4842361959035023,-0.3600404553694466,-0.1089361226101487,-0.3283430100405554
AL,35226,421265.9194977141,1826.4833333333331,5.202841954586105,124516.0,27382.284767351415,-5464.48476735142,-0.012971580454138949,-0.7073313098334549,2.090667568722133,1.3645903598372062,0.0006165437324712197
